Circuit,Solver,Wire_ID,Time_Sec,Status,Method
c2670.aag,glucose4,716,0.000001,SAT,SIMULATION
c2670.aag,glucose4,890,0.000001,SAT,SIMULATION
c2670.aag,glucose4,735,0.000001,SAT,SIMULATION
c2670.aag,glucose4,876,0.000001,SAT,SIMULATION
c2670.aag,glucose4,737,0.000001,SAT,SIMULATION
c2670.aag,glucose4,-884,0.000002,UNSAT (REDUNDANT),PYSAT
c2670.aag,glucose4,701,0.000001,SAT,SIMULATION
c2670.aag,glucose4,891,0.000001,SAT,SIMULATION
c2670.aag,glucose4,690,0.000001,SAT,SIMULATION
c2670.aag,glucose4,872,0.000001,SAT,SIMULATION
c2670.aag,glucose4,892,0.000001,SAT,SIMULATION
c2670.aag,glucose4,744,0.000001,SAT,SIMULATION
c2670.aag,glucose4,736,0.000001,SAT,SIMULATION
c2670.aag,glucose4,480,0.000001,SAT,SIMULATION
c2670.aag,glucose4,893,0.000001,SAT,SIMULATION
c2670.aag,glucose4,208,0.000001,SAT,SIMULATION
c2670.aag,glucose4,692,0.000001,SAT,SIMULATION
c2670.aag,glucose4,722,0.000001,SAT,SIMULATION
c2670.aag,glucose4,719,0.000001,SAT,SIMULATION
c2670.aag,glucose4,857,0.000001,SAT,SIMULATION
c2670.aag,glucose4,459,0.000001,SAT,SIMULATION
c2670.aag,glucose4,875,0.000001,SAT,SIMULATION
c2670.aag,glucose4,894,0.000001,SAT,SIMULATION
c2670.aag,glucose4,738,0.000001,SAT,SIMULATION
c2670.aag,glucose4,895,0.000001,SAT,SIMULATION
c2670.aag,glucose4,459,0.000001,SAT,SIMULATION
c2670.aag,glucose4,854,0.000001,SAT,SIMULATION
c2670.aag,glucose4,855,0.000001,SAT,SIMULATION
c2670.aag,glucose4,896,0.000001,SAT,SIMULATION
c2670.aag,glucose4,720,0.000001,SAT,SIMULATION
c2670.aag,glucose4,694,0.000001,SAT,SIMULATION
c2670.aag,glucose4,724,0.000001,SAT,SIMULATION
c2670.aag,glucose4,865,0.000001,SAT,SIMULATION
c2670.aag,glucose4,709,0.000001,SAT,SIMULATION
c2670.aag,glucose4,20,0.000001,SAT,SIMULATION
c2670.aag,glucose4,897,0.000001,SAT,SIMULATION
c2670.aag,glucose4,732,0.000001,SAT,SIMULATION
c2670.aag,glucose4,733,0.000001,SAT,SIMULATION
c2670.aag,glucose4,717,0.000001,SAT,SIMULATION
c2670.aag,glucose4,697,0.000001,SAT,SIMULATION
c2670.aag,glucose4,457,0.000001,SAT,SIMULATION
c2670.aag,glucose4,748,0.000001,SAT,SIMULATION
c2670.aag,glucose4,864,0.000001,SAT,SIMULATION
c2670.aag,glucose4,879,0.000001,SAT,SIMULATION
c2670.aag,glucose4,898,0.000001,SAT,SIMULATION
c2670.aag,glucose4,296,0.000001,SAT,SIMULATION
c2670.aag,glucose4,899,0.000001,SAT,SIMULATION
c2670.aag,glucose4,847,0.000001,SAT,SIMULATION
c2670.aag,glucose4,875,0.000001,SAT,SIMULATION
c2670.aag,glucose4,871,0.000001,SAT,SIMULATION
c2670.aag,glucose4,878,0.000001,SAT,SIMULATION
c2670.aag,glucose4,856,0.000001,SAT,SIMULATION
c2670.aag,glucose4,854,0.000001,SAT,SIMULATION
c2670.aag,glucose4,900,0.000001,SAT,SIMULATION
c2670.aag,glucose4,706,0.000001,SAT,SIMULATION
c2670.aag,glucose4,726,0.000001,SAT,SIMULATION
c2670.aag,glucose4,693,0.000001,SAT,SIMULATION
c2670.aag,glucose4,901,0.000001,SAT,SIMULATION
c2670.aag,glucose4,849,0.000001,SAT,SIMULATION
c2670.aag,glucose4,866,0.000001,SAT,SIMULATION
c2670.aag,glucose4,902,0.000001,SAT,SIMULATION
c2670.aag,glucose4,903,0.000001,SAT,SIMULATION
c2670.aag,glucose4,699,0.000001,SAT,SIMULATION
c2670.aag,glucose4,721,0.000001,SAT,SIMULATION
c2670.aag,glucose4,880,0.000001,SAT,SIMULATION
c2670.aag,glucose4,695,0.000001,SAT,SIMULATION
c2670.aag,glucose4,461,0.000001,SAT,SIMULATION
c2670.aag,glucose4,904,0.000001,SAT,SIMULATION
c2670.aag,glucose4,702,0.000001,SAT,SIMULATION
c2670.aag,glucose4,682,0.000001,SAT,SIMULATION
c2670.aag,glucose4,742,0.000001,SAT,SIMULATION
c2670.aag,glucose4,723,0.000001,SAT,SIMULATION
c2670.aag,glucose4,882,0.000001,SAT,SIMULATION
